Gde_Nr,Bevölkerung,Arbeitsplätze
589,457,92.89999999999999
5890,19780,11413.6
5891,874,152.9
59,1962,341.6
590,2687,509.69999999999993
5902,368,42.8
5903,230,23.8
5904,547,207.70000000000002
5905,651,179.70000000000002
5907,300,39.8
5908,139,31.5
5909,669,209.5
591,98,19.4
5910,376,42.9
5911,238,37.400000000000006
5912,126,29.4
5913,782,97.69999999999999
5914,351,43.2
5919,616,115.3
592,582,47.3
5921,218,72.8
5922,734,1209.4
5923,186,144.2
5924,292,92.1
5925,201,53.9
5926,760,163.39999999999998
5928,171,26.6
5929,606,68.30000000000001
593,5757,2328.8
5930,199,28.2
5931,445,63.3
5932,210,15.600000000000001
5933,692,72.9
5934,247,32.6
5935,105,12.2
5937,134,13.3
5938,29977,14760.1
5939,3250,759.4
594,2662,943.4000000000001
6,1110,209.0
60,2706,1009.1
6002,13158,7359.299999999999
6004,341,34.0
6007,9951,1608.1000000000001
6008,2077,253.9
6009,309,119.9
6010,891,91.8
6011,78,39.7
602,917,167.6
6021,3076,583.7
6022,3721,743.2
6023,8674,2879.7
6024,6476,1639.0
6025,6135,1236.2
603,1749,547.3
6031,8073,4248.3
6032,182,102.8
6033,755,122.4
6034,3220,986.7
6035,1011,448.9
6036,1942,402.20000000000005
605,1388,269.9
6052,395,153.70000000000002
6054,144,47.6
6056,509,152.0
6057,901,551.7
6058,321,189.60000000000002
606,495,51.3
6061,295,66.6
607,484,36.5
6076,650,297.2
6077,1206,419.7
608,4149,1147.3
6082,3935,726.5
6083,1697,429.29999999999995
6084,1377,285.5
6087,837,165.9
6089,1813,412.0
609,255,46.6
6090,1056,122.60000000000001
61,1025,223.9
610,587,106.89999999999999
6101,764,158.10000000000002
6102,241,54.8
6104,186,29.0
6109,110,6.3
611,937,311.6
6110,3947,1037.9
6111,1433,778.0
6112,123,17.5
6113,1470,699.8
6116,619,112.5
6117,421,53.199999999999996
6118,1965,508.4
6119,1108,370.9
612,5280,2468.6
613,624,184.3
6131,880,67.4
6132,1734,605.5
6133,8622,1654.6
6134,830,157.5
6135,3135,1065.0
6136,17998,10481.1
6137,2305,418.5
6139,3035,923.1
614,1287,362.70000000000005
6140,2541,556.5
